Name,Team,lineupSlot,points,Week,passingCompletions,passingYards,passingTouchdowns,passingInterceptions,rushingAttempts,rushingYards,rushingTouchdowns,fumbles,receivingTargets,receivingReceptions,receivingYards,receivingTouchdowns
David Montgomery,DET,RB,17.0,2,0.0,0.0,0.0,0.0,11.0,35.0,1.0,0.0,4.0,4.0,35.0,0.0
Terry McLaurin,WSH,WR,8.2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,22.0,0.0
Tony Pollard,TEN,RB,15.2,2,0.0,0.0,0.0,0.0,17.0,62.0,0.0,0.0,6.0,5.0,40.0,0.0
Justin Tucker,BAL,K,12.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brock Bowers,LV,TE,18.8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,98.0,0.0
Jayden Daniels,WSH,QB,13.44,2,23.0,226.0,0.0,0.0,10.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0
Brian Thomas Jr.,JAX,WR,11.4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,94.0,0.0
Chiefs D/ST,KC,D/ST,11.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christian McCaffrey,SF,RB,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Travis Etienne Jr.,JAX,RB,14.8,2,0.0,0.0,0.0,0.0,13.0,52.0,1.0,0.0,4.0,3.0,6.0,0.0
Davante Adams,LV,WR,26.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,9.0,110.0,1.0
Brandon Aiyuk,SF,WR,8.3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,43.0,0.0
DK Metcalf,SEA,WR,28.9,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,10.0,129.0,1.0
