Name,Team,lineupSlot,points,Week,passingCompletions,passingYards,passingTouchdowns,passingInterceptions,rushingAttempts,rushingYards,rushingTouchdowns,fumbles,receivingTargets,receivingReceptions,receivingYards,receivingTouchdowns,injuryStatus,avg_points,injured
Josh Allen,BUF,QB,7.3,4,16.0,180.0,0.0,0.0,5.0,21.0,0.0,1.0,0.0,0.0,0.0,0.0,ACTIVE,20.91,False
Tee Higgins,CIN,WR,12.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,60.0,0.0,ACTIVE,14.43,False
James Conner,ARI,RB,18.3,4,0.0,0.0,0.0,0.0,18.0,104.0,1.0,0.0,1.0,1.0,9.0,0.0,ACTIVE,13.68,False
Kyle Pitts,ATL,TE,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,ACTIVE,11.14,False
George Pickens,PIT,WR,16.3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,7.0,113.0,0.0,ACTIVE,13.93,False
Najee Harris,PIT,RB,10.3,4,0.0,0.0,0.0,0.0,13.0,19.0,0.0,0.0,6.0,3.0,54.0,0.0,ACTIVE,12.5,False
Austin Ekeler,WSH,RB,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QUESTIONABLE,12.39,False
Keon Coleman,BUF,WR,8.1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,51.0,0.0,ACTIVE,11.33,False
Evan McPherson,CIN,K,13.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ACTIVE,8.17,False
Zach Charbonnet,SEA,RB,10.4,4,0.0,0.0,0.0,0.0,2.0,15.0,0.0,0.0,5.0,5.0,39.0,0.0,ACTIVE,10.0,False
