"Name","Team","lineupSlot","points","GP","passingCompletions","passingYards","passingTouchdowns","passingInterceptions","rushingAttempts","rushingYards","rushingTouchdowns","fumbles","receivingTargets","receivingReceptions","receivingYards","receivingTouchdowns"
"River Cracraft","MIA","WR","3.6","3.6","1","0","0","0","0","0","0","0","0","2","2","16","0"
"Christian Kirk","JAX","WR","3.6","3.6","1","0","0","0","0","0","0","0","0","1","1","26","0"
"Hunter Henry","NE","TE","3.5","3.5","1","0","0","0","0","0","0","0","0","4","2","15","0"
"Trenton Irwin","CIN","WR","3.5","3.5","1","0","0","0","0","0","0","0","0","1","1","25","0"
"Alex Erickson","LAC","WR","3.3","3.3","1","0","0","0","0","0","0","0","0","1","1","23","0"
"C.J. Beathard","JAX","QB","3.2","3.2","1","9","63","0","0","1","7","0","0","0","0","0","0"
"Donald Parham Jr.","LAC","TE","3.2","3.2","1","0","0","0","0","0","0","0","0","4","2","12","0"
"Rico Dowdle","DAL","RB","3.2","3.2","1","0","0","0","0","5","15","0","0","1","1","7","0"
"Ben Skowronek","LAR","WR","3.2","3.2","1","0","0","0","0","0","0","0","0","3","2","12","0"
"David Bell","CLE","WR","3.2","3.2","1","0","0","0","0","0","0","0","0","2","2","12","0"
"Tyler Goodson","IND","RB","3.1","3.1","1","0","0","0","0","0","0","0","0","2","2","11","0"
"Elijah Higgins","ARI","TE","3.1","3.1","1","0","0","0","0","0","0","0","0","2","1","21","0"
"Kenny Pickett","PIT","QB","3.1","3.1","1","7","70","0","0","3","3","0","0","0","0","0","0"
"Geoff Swaim","ARI","TE","3","3","1","0","0","0","0","0","0","0","0","2","2","10","0"
"Jonnu Smith","ATL","TE","3","3","1","0","0","0","0","0","0","0","0","3","2","10","0"
"Greg Dortch","ARI","WR","2.9","2.9","1","0","0","0","0","0","0","0","0","3","1","19","0"
"Patrick Taylor","GB","RB","2.9","2.9","1","0","0","0","0","2","29","0","0","1","0","0","0"
"Rhamondre Stevenson","NE","RB","2.9","2.9","1","0","0","0","0","9","39","0","1","1","1","0","0"
"Chris Rodriguez Jr.","WAS","RB","2.9","2.9","1","0","0","0","0","7","29","0","0","0","0","0","0"
"Cordarrelle Patterson","ATL","RB","2.7","2.7","1","0","0","0","0","5","11","0","0","2","1","6","0"
"Jalen Tolbert","DAL","WR","2.7","2.7","1","0","0","0","0","0","0","0","0","1","1","17","0"
"Samaje Perine","DEN","RB","2.6","2.6","1","0","0","0","0","1","1","0","0","2","2","5","0"
"Jamaal Williams","NO","RB","2.6","2.6","1","0","0","0","0","5","10","0","0","1","1","6","0"
"Stephen Sullivan","CAR","TE","2.6","2.6","1","0","0","0","0","0","0","0","0","2","1","16","0"
"Tyler Allgeier","ATL","RB","2.6","2.6","1","0","0","0","0","8","26","0","0","0","0","0","0"
"Josh Whyle","TEN","TE","2.6","2.6","1","0","0","0","0","0","0","0","0","2","1","16","0"
"Dare Ogunbowale","HOU","RB","2.5","2.5","1","0","0","0","0","1","1","0","0","1","1","14","0"
"Michael Carter","ARI","RB","2.5","2.5","1","0","0","0","0","4","25","0","0","0","0","0","0"
"Malik Heath","GB","WR","2.5","2.5","1","0","0","0","0","0","0","0","0","2","1","15","0"
"Clyde Edwards-Helaire","KC","RB","2.4","2.4","1","0","0","0","0","2","6","0","0","2","1","8","0"
"Will Mallory","IND","TE","2.4","2.4","1","0","0","0","0","0","0","0","0","4","2","4","0"
"Marvin Mims Jr.","DEN","WR","2.3","2.3","1","0","0","0","0","1","8","0","0","2","1","5","0"
"Chris Moore","TEN","WR","2.2","2.2","1","0","0","0","0","0","0","0","0","1","1","12","0"
"Josh Reynolds","DET","WR","2.2","2.2","1","0","0","0","0","0","0","0","0","3","1","12","0"
"Richie James","KC","WR","2.2","2.2","1","0","0","0","0","0","0","0","0","2","1","12","0"
"Lil'Jordan Humphrey","DEN","WR","2.2","2.2","1","0","0","0","0","0","0","0","0","1","1","12","0"
"Mitchell Wilcox","CIN","TE","2.2","2.2","1","0","0","0","0","0","0","0","0","1","1","12","0"
"Jeremy Ruckert","NYJ","TE","2.2","2.2","1","0","0","0","0","0","0","0","0","3","1","12","0"
"Luke Schoonmaker","DAL","TE","2.2","2.2","1","0","0","0","0","0","0","0","0","1","1","12","0"
"JuJu Smith-Schuster","NE","WR","2.1","2.1","1","0","0","0","0","0","0","0","0","3","1","11","0"
"Drew Sample","CIN","TE","2.1","2.1","1","0","0","0","0","0","0","0","0","1","1","11","0"
"Jalen Reagor","NE","WR","2.1","2.1","1","0","0","0","0","0","0","0","0","1","1","11","0"
"Deven Thompkins","TB","WR","2.1","2.1","1","0","0","0","0","2","7","0","0","1","1","4","0"
"Logan Thomas","WAS","TE","2","2","1","0","0","0","0","0","0","0","0","1","0","0","0"
"Calvin Austin III","PIT","WR","2","2","1","0","0","0","0","0","0","0","0","1","1","10","0"
"Pierre Strong Jr.","CLE","RB","2","2","1","0","0","0","0","2","20","0","0","0","0","0","0"
"KaVontae Turpin","DAL","WR","2","2","1","0","0","0","0","0","0","0","0","3","1","10","0"
"Chase Edmonds","TB","RB","1.9","1.9","1","0","0","0","0","2","7","0","0","1","1","2","0"
"D'Ernest Johnson","JAX","RB","1.9","1.9","1","0","0","0","0","5","4","0","0","1","1","5","0"
"Luke Farrell","JAX","TE","1.9","1.9","1","0","0","0","0","0","0","0","0","1","1","9","0"
"Tutu Atwell","LAR","WR","1.9","1.9","1","0","0","0","0","0","0","0","0","2","1","9","0"
"John Metchie III","HOU","WR","1.9","1.9","1","0","0","0","0","0","0","0","0","3","1","9","0"
"Jake Bobo","SEA","WR","1.9","1.9","1","0","0","0","0","0","0","0","0","1","1","9","0"
"Brock Wright","DET","TE","1.8","1.8","1","0","0","0","0","0","0","0","0","1","1","8","0"
"Drake London","ATL","WR","1.8","1.8","1","0","0","0","0","0","0","0","0","5","1","8","0"
"Jameis Winston","NO","QB","1.6","1.6","1","2","41","0","0","0","0","0","0","0","0","0","0"
