"Name","Team","lineupSlot","points","avg_points","GP","passingCompletions","passingYards","passingTouchdowns","passingInterceptions","rushingAttempts","rushingYards","rushingTouchdowns","fumbles","receivingTargets","receivingReceptions","receivingYards","receivingTouchdowns"
"John FitzPatrick","ATL","TE","2.2","0.2","10","0","0","0","0","0","0","0","0","1","1","12","0"
"Jaren Hall","MIN","QB","2.1","0.7","3","13","168","0","1","6","14","0","2","0","0","0","0"
"Collin Johnson","CHI","WR","2.1","0.7","3","0","0","0","0","0","0","0","0","1","1","11","0"
"Tylan Wallace","BAL","WR","2.1","0.2","11","0","0","0","0","0","0","0","0","2","1","11","0"
"Chris Evans","CIN","RB","2.1","0.3","8","0","0","0","0","2","12","0","0","1","1","-1","0"
"Tyrion Davis-Price","SF","RB","2.1","2.1","1","0","0","0","0","6","21","0","0","0","0","0","0"
"Mike White","MIA","QB","2.1","0.3","6","5","74","1","1","8","-9","0","1","0","0","0","0"
"Cody Thompson","SEA","WR","2","0.3","7","0","0","0","0","0","0","0","0","1","1","10","0"
"Zach Evans","LAR","RB","1.9","0.2","10","0","0","0","0","9","19","0","0","0","0","0","0"
"Tucker Fisk","ATL","TE","1.9","0.3","6","0","0","0","0","0","0","0","0","1","1","9","0"
"Evan Hull","IND","RB","1.7","1.7","1","0","0","0","0","1","1","0","0","1","1","6","0"
"Kevin Rader","TEN","TE","1.6","0.1","14","0","0","0","0","0","0","0","0","3","1","6","0"
"Mason Kinsey","TEN","WR","1.6","0.3","6","0","0","0","0","0","0","0","0","1","1","6","0"
"Cole Fotheringham","LV","TE","1.6","0.8","2","0","0","0","0","0","0","0","0","1","1","6","0"
"Jesper Horsted","LV","TE","1.4","0.1","13","0","0","0","0","0","0","0","0","1","1","4","0"
"Nick Vannett","LAC","TE","1.3","0.2","8","0","0","0","0","0","0","0","0","1","1","3","0"
"Reggie Gilliam","BUF","RB","1.3","0.1","17","0","0","0","0","0","0","0","0","1","1","3","0"
"Kene Nwangwu","MIN","RB","1.3","0.1","9","0","0","0","0","5","13","0","0","0","0","0","0"
"Colton Dowell","TEN","WR","1.3","0.1","10","0","0","0","0","0","0","0","0","2","1","3","0"
"Sean Clifford","GB","QB","1.3","0.6","2","1","37","0","0","3","-2","0","0","0","0","0","0"
"Giovanni Ricci","CAR","TE","1.2","0.2","5","0","0","0","0","0","0","0","0","1","1","2","0"
"Kwamie Lassiter II","CIN","WR","1.2","1.2","1","0","0","0","0","0","0","0","0","1","1","2","0"
"Antoine Green","DET","WR","1.2","0.1","9","0","0","0","0","0","0","0","0","2","1","2","0"
"Jonathan Ward","TEN","RB","1.1","0.1","8","0","0","0","0","3","11","0","0","0","0","0","0"
