"Name","Team","lineupSlot","points",averagePoints,"GP","passingCompletions","passingYards","passingTouchdowns","passingInterceptions","rushingAttempts","rushingYards","rushingTouchdowns","fumbles","receivingTargets","receivingReceptions","receivingYards","receivingTouchdowns"
"Hunter Luepke","DAL","RB","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Luke Schoonmaker","DAL","TE","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0"
"Antoine Green","DET","WR","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Emanuel Wilson","GB","RB","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Xavier Hutchinson","HOU","WR","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Julian Hill","MIA","TE","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Colton Dowell","TEN","WR","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Nate Adkins","DEN","TE","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0"
"Dylan Drummond","DET","WR","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Sam Darnold","SF","QB","-0.1","-0.1","1","1","1","0","0","1","-1","0","0","0","0","0","0"
"Teddy Bridgewater","DET","QB","-0.2","-0.2","1","0","0","0","0","2","-2","0","0","0","0","0","0"
"Jameis Winston","NO","QB","-0.4","-0.4","1","0","0","0","0","3","-4","0","0","0","0","0","0"
"Marvin Mims Jr.","DEN","WR","-0.6","-0.6","1","0","0","0","0","0","0","0","1","1","1","4","0"
"Mac Jones","NE","QB","-1.6","-1.6","1","12","110","0","2","1","0","0","1","0","0","0","0"
"Gunner Olszewski","PIT","WR","-2","-2","1","0","0","0","0","0","0","0","1","0","0","0","0"
"Xavier Gipson","NYJ","WR","-2","-2","1","0","0","0","0","0","0","0","1","0","0","0","0"
